threshold,macro_f05
0.3,0.9998611111111111
0.35,0.9998611111111111
0.4,0.9998611111111111
0.45,0.9998611111111111
0.5,0.9998611111111111
0.55,0.9998611111111111
0.6,0.9998611111111111
0.65,0.9998611111111111
0.7,0.9998611111111111
0.75,0.9998611111111111
0.8,0.9998611111111111
0.85,0.9998611111111111
0.875,0.9998611111111111
0.9,0.9998611111111111
0.925,0.9998611111111111
0.95,0.9998611111111111
0.975,0.9998611111111111
0.2,0.9998611111111111
0.205,0.9998611111111111
0.21,0.9998611111111111
0.215,0.9998611111111111
0.22,0.9998611111111111
0.225,0.9998611111111111
0.23,0.9998611111111111
0.235,0.9998611111111111
0.24,0.9998611111111111
0.245,0.9998611111111111
0.25,0.9998611111111111
0.255,0.9998611111111111
0.26,0.9998611111111111
0.265,0.9998611111111111
0.27,0.9998611111111111
0.275,0.9998611111111111
0.28,0.9998611111111111
0.285,0.9998611111111111
0.29,0.9998611111111111
0.295,0.9998611111111111
0.3,0.9998611111111111
0.305,0.9998611111111111
0.31,0.9998611111111111
0.315,0.9998611111111111
0.32,0.9998611111111111
0.325,0.9998611111111111
0.33,0.9998611111111111
0.335,0.9998611111111111
0.34,0.9998611111111111
0.345,0.9998611111111111
0.35,0.9998611111111111
0.355,0.9998611111111111
0.36,0.9998611111111111
0.365,0.9998611111111111
0.37,0.9998611111111111
0.375,0.9998611111111111
0.38,0.9998611111111111
0.385,0.9998611111111111
0.39,0.9998611111111111
0.395,0.9998611111111111
0.4,0.9998611111111111
